$	x	y	name	scale_x	scale_y
    	0	550	wall	6.0	2.0
    	150	650	wall	3.0	2.0
	250	550	wall	16.0	2.0
	0	450	wall	2.0	2.0
	100	380	wall	12.0	2.0
 	0	750	wall	12.0	2.0
	300	850	wall	12.0	2.0
	600	750	wall	15.0	2.0
	720	650	wall	2.0	2.0
	650	430	wall	13.0	2.0
	430	310	wall	8.0	2.0
	0	250	wall	10.0	2.0
	320	200	wall	2.0	2.0
	0	100	wall	10.0	2.0
	400	90	wall	10.0	2.0
	700	180	wall	15.0	2.0
	1100	80	wall	15.0	2.0
	1500	180	wall	12.0	2.0
	1750	60	wall	2.0	2.0
	1050	350	wall	8.0	2.0
	1320	420	wall	8.0	2.0
	1020	640	wall	16.0	2.0
	1500	720	wall	12.0	2.0
	1750	600	wall	2.0	2.0
	1600	500	wall	2.0	2.0
	300	1100	wall	8.0	2.0
	500	1000	wall	8.0	2.0
	700	900	wall	16.0	2.0
	1150	820	wall	10.0	2.0
	1450	780	wall	2.0	2.0
	0	950	wall	8.0	2.0
	1100	1000	wall	16.0	2.0
	1500	1110	wall	12.0	2.0
	0	1090	wall	6.0	2.0
	900	1070	wall	6.0	2.0
	1600	920	wall	6.0	2.0
